id,postcode,locality,state,long,lat,dc,type
"331","0830","MOULDEN","NT","130.974879","-12.475071","",""
"332","0830","PALMERSTON","NT","130.974879","-12.475071","",""
"333","0830","SHOAL BAY","NT","130.974879","-12.475071","",""
"334","0830","WOODROFFE","NT","130.974879","-12.475071","",""
"335","0830","YARRAWONGA","NT","130.974879","-12.475071","",""
"336","0831","PALMERSTON","NT","0","0","",""
"337","0832","BAKEWELL","NT","130.957712","-12.502817","",""
"338","0832","BELLAMACK","NT","130.957712","-12.502817","",""
"339","0832","GUNN","NT","130.957712","-12.502817","",""
"340","0832","MITCHELL","NT","130.957712","-12.502817","",""
"341","0832","ROSEBERY","NT","130.957712","-12.502817","",""
"342","0832","ROSEBERY HEIGHTS","NT","130.957712","-12.502817","",""
"16694","0834","VIRGINIA","NT","131.0191","-12.5413","",""
"21821","0835","Coolalinga","NT","131.0415","-12.5231","",""
"343","0835","HOWARD SPRINGS","NT","131.013741","-12.452568","",""
"344","0835","VIRGINIA","NT","131.013741","-12.452568","",""
"345","0836","HERBERT","NT","131.100668","-12.557754","",""
"346","0836","HUMPTY DOO","NT","131.100668","-12.557754","",""
"347","0837","MANTON","NT","131.016647","-12.704767","",""
"348","0837","NOONAMAH","NT","131.016647","-12.704767","",""
"349","0838","BERRY SPRINGS","NT","0","0","",""
"16695","0839","COOLALINGA","NT","131.0418","-12.5212","",""
"350","0840","DUNDEE BEACH","NT","0","0","",""
"351","0840","DUNDEE DOWNS","NT","0","0","",""
"352","0840","DUNDEE FOREST","NT","0","0","",""
"353","0841","DARWIN RIVER","NT","0","0","",""
"354","0845","BATCHELOR","NT","131.038475","-13.045118","",""
"355","0846","ADELAIDE RIVER","NT","131.095002","-13.210299","",""
"356","0847","PINE CREEK","NT","131.759154","-14.012122","",""
"357","0850","KATHERINE","NT","132.365352","-14.195911","",""
"358","0851","KATHERINE","NT","0","0","",""
"359","0852","BARUNGA","NT","137.050719","-15.711424","",""
"360","0852","BESWICK","NT","137.050719","-15.711424","",""
"361","0852","DALY WATERS","NT","137.050719","-15.711424","",""
"362","0852","DUNMARRA","NT","137.050719","-15.711424","",""
"363","0852","EDITH RIVER","NT","137.050719","-15.711424","",""
"364","0852","ELSEY STATION","NT","137.050719","-15.711424","",""
"365","0852","KALKARINGI","NT","137.050719","-15.711424","",""
"366","0852","KATHERINE","NT","137.050719","-15.711424","",""
"367","0852","LAJAMANU","NT","137.050719","-15.711424","",""
"368","0852","LARRIMAH","NT","137.050719","-15.711424","",""
"369","0852","MANBULLOO","NT","137.050719","-15.711424","",""
"370","0852","MARANBOY","NT","137.050719","-15.711424","",""
"371","0852","MATARANKA","NT","137.050719","-15.711424","",""
"372","0852","NGUKURR","NT","137.050719","-15.711424","",""
"373","0852","NUMBULWAR","NT","137.050719","-15.711424","",""
"374","0852","TIMBER CREEK","NT","137.050719","-15.711424","",""
"375","0852","VICTORIA RIVER DOWNS","NT","137.050719","-15.711424","",""
"376","0852","WAVE HILL","NT","137.050719","-15.711424","",""
"377","0853","TINDAL RAAF","NT","132.417121","-14.558122","",""
"378","0854","BORROLOOLA","NT","136.424191","-16.503809","",""
"379","0854","KING ASH BAY","NT","136.424191","-16.503809","",""
"380","0860","TENNANT CREEK","NT","134.173599","-19.641301","",""
"381","0861","BRUNCHILLY","NT","0","0","",""
"382","0861","TENNANT CREEK","NT","0","0","",""
"383","0862","AVON DOWNS","NT","134.463153","-18.251528","",""
"384","0862","CRESSWELL DOWNS","NT","134.463153","-18.251528","",""
"385","0862","ELLIOTT","NT","134.463153","-18.251528","",""
"386","0862","HELEN SPRINGS","NT","134.463153","-18.251528","",""
"387","0862","MUCKATY STATION","NT","134.463153","-18.251528","",""
"388","0862","NEWCASTLE WATERS","NT","134.463153","-18.251528","",""
"389","0862","PHILLIP CREEK STATION","NT","134.463153","-18.251528","",""
"390","0862","RENNER SPRINGS","NT","134.463153","-18.251528","",""
"391","0862","TENNANT CREEK","NT","134.463153","-18.251528","",""
"392","0862","THREE WAYS","NT","134.463153","-18.251528","",""
"393","0862","WARREGO","NT","134.463153","-18.251528","",""
"394","0862","WOLLOGORANG STATION","NT","134.463153","-18.251528","",""
"395","0862","WYCLIFFE WELL","NT","134.463153","-18.251528","",""
"396","0870","ALICE SPRINGS","NT","133.86314","-23.702291","",""
"397","0871","ALICE SPRINGS","NT","0","0","",""
"398","0872","AHERRENGE","NT","131.298809","-21.949513","",""
"399","0872","ALI CURUNG","NT","131.298809","-21.949513","",""
"400","0872","ALICE SPRINGS","NT","131.298809","-21.949513","",""
"401","0872","AMATA","NT","131.298809","-21.949513","",""
"402","0872","AMOONGUNA","NT","131.298809","-21.949513","",""
"403","0872","ANTEWENEGERRDE","NT","131.298809","-21.949513","",""
"404","0872","AREYONGA","NT","131.298809","-21.949513","",""
"405","0872","ATITJERE","NT","131.298809","-21.949513","",""
"406","0872","AYERS ROCK","NT","131.298809","-21.949513","",""
"407","0872","BARROW CREEK","NT","131.298809","-21.949513","",""
"408","0872","CANTEEN CREEK","NT","131.298809","-21.949513","",""
"409","0872","DOCKER RIVER","NT","131.298809","-21.949513","",""
"410","0872","ERLDUNDA","NT","131.298809","-21.949513","",""
"411","0872","ERNABELLA","SA","131.298809","-21.949513","",""
"412","0872","FINKE","NT","131.298809","-21.949513","",""
"413","0872","FREGON","SA","131.298809","-21.949513","",""
"414","0872","GIBSON DESERT NORTH","WA","131.298809","-21.949513","",""
"415","0872","GIBSON DESERT SOUTH","WA","131.298809","-21.949513","",""
"416","0872","HAASTS BLUFF","NT","131.298809","-21.949513","",""
"417","0872","HERMANNSBURG","NT","131.298809","-21.949513","",""
