postcode,locality,region,long,lat,territory,island
"0444","Omapere","Northland","173.3862","-35.5367","Far North District","North Island"
"0445","Opononi","Northland","173.3924","-35.5046","Far North District","North Island"
"0446","Waimamaku","Northland","173.4759","-35.556","Far North District","North Island"
"0447","Okaihau","Northland","173.7713","-35.3201","Far North District","North Island"
"0448","Kaeo","Northland","173.7805","-35.1006","Far North District","North Island"
"0449","Ahipara","Northland","173.1534","-35.171","Far North District","North Island"
"0451","Awanui","Northland","173.2565","-35.048","Far North District","North Island"
"0453","Kohukohu","Northland","173.5461","-35.3582","Far North District","North Island"
"0460","Pukenui","Northland","173.1178","-34.8149","Far North District","North Island"
"0462","Broadwood","Northland","173.3896","-35.2592","Far North District","North Island"
"0472","Pakaraka","Northland","173.9337","-35.3618","Far North District","North Island"
"0473","Waima","Northland","173.5549","-35.4963","Far North District","North Island"
"0474","Tautoro","Northland","173.8144","-35.5071","Far North District","North Island"
"0475","Marangai","Northland","173.6987","-35.3278","Far North District","North Island"
"0476","Umawera","Northland","173.6264","-35.2385","Far North District","North Island"
"0478","Kaeo","Northland","173.7895","-35.0974","Far North District","North Island"
"0479","Saies","Northland","173.6798","-35.0791","Far North District","North Island"
"0481","Manukau","Northland","173.2382","-35.2366","Far North District","North Island"
"0482","Kaiaka","Northland","173.4133","-35.1122","Far North District","North Island"
"0483","Lake Ohia","Northland","173.3595","-34.9593","Far North District","North Island"
"0484","Te Kao","Northland","172.924","-34.6874","Far North District","North Island"
"0486","Waiharera","Northland","173.2179","-34.9757","Far North District","North Island"
"0491","Broadwood","Northland","173.4408","-35.2764","Far North District","North Island"
"0492","Panguru","Northland","173.3623","-35.4197","Far North District","North Island"
"0494","Paraoanui","Northland","173.621","-35.0088","Far North District","North Island"
"0496","Pawarenga","Northland","173.3046","-35.3437","Far North District","North Island"
"0505","Mangawhai","Northland","174.5842","-36.0858","Kaipara","North Island"
"0520","Maungaturoto","Northland","174.3568","-36.1077","Kaipara","North Island"
"0520","Rowsells","Northland","174.3568","-36.1077","Kaipara District","North Island"
"0540","Mangawhai","Northland","174.5746","-36.1258","Kaipara District","North Island"
"0541","Mangawhai Heads","Northland","174.5874","-36.0946","Kaipara District","North Island"
"0542","Kaiwaka","Northland","174.4428","-36.1642","Kaipara District","North Island"
"0543","Paparoa","Northland","174.2315","-36.103","Kaipara District","North Island"
"0545","Waipu","Northland","174.4453","-35.9842","Whangarei District","North Island"
"0547","Rowsells","Northland","174.3537","-36.1102","Kaipara District","North Island"
"0549","Ruawai","Northland","174.0233","-36.1365","Kaipara District","North Island"
"0550","Matakohe","Northland","174.1825","-36.1298","Kaipara District","North Island"
"0571","Mareretu","Northland","174.2547","-36.053","Kaipara District","North Island"
"0573","Kaiwaka","Northland","174.429","-36.1881","Kaipara District","North Island"
"0582","Waipu","Northland","174.4499","-36.0052","Whangarei District","North Island"
"0583","Marohemo","Northland","174.2892","-36.1641","Kaipara District","North Island"
"0587","Ranganui","Northland","174.4094","-36.1441","Kaipara District","North Island"
"0588","Maungaturoto","Northland","174.3737","-36.0723","Kaipara District","North Island"
"0589","Huarau","Northland","174.3167","-36.0601","Kaipara District","North Island"
"0591","Ruawai","Northland","174.0709","-36.1195","Kaipara District","North Island"
"0592","Rehia","Northland","174.0388","-36.0549","Kaipara District","North Island"
"0593","Pahi","Northland","174.2067","-36.1962","Kaipara District","North Island"
"0594","Matakohe","Northland","174.1446","-36.0672","Kaipara District","North Island"
"0600","Avondale","Auckland","174.6922","-36.9158","Auckland","North Island"
"0600","New Lynn","Auckland","174.6922","-36.9158","Auckland","North Island"
"0602","Glen Eden","Auckland","174.6474","-36.9042","Auckland","North Island"
"0602","Glendene","Auckland","174.6474","-36.9042","Auckland","North Island"
"0602","Te Atatu South","Auckland","174.6474","-36.9042","Auckland","North Island"
"0604","Cornwallis","Auckland","174.5827","-36.9808","Auckland","North Island"
"0604","Green Bay","Auckland","174.5827","-36.9808","Auckland","North Island"
"0604","Laingholm","Auckland","174.5827","-36.9808","Auckland","North Island"
"0604","Nihotupu","Auckland","174.5827","-36.9808","Auckland","North Island"
"0604","Oratia","Auckland","174.5827","-36.9808","Auckland","North Island"
"0604","Parau","Auckland","174.5827","-36.9808","Auckland","North Island"
"0604","Titirangi","Auckland","174.5827","-36.9808","Auckland","North Island"
"0604","Waiatarua","Auckland","174.5827","-36.9808","Auckland","North Island"
"0610","Henderson","Auckland","174.6466","-36.8531","Auckland","North Island"
"0610","Massey","Auckland","174.6466","-36.8531","Auckland","North Island"
"0610","Te Atatu Peninsula","Auckland","174.6466","-36.8531","Auckland","North Island"
"0612","Glen Eden","Auckland","174.5918","-36.8988","Auckland","North Island"
"0612","Henderson","Auckland","174.5918","-36.8988","Auckland","North Island"
"0612","Henderson Valley","Auckland","174.5918","-36.8988","Auckland","North Island"
"0612","McLaren Park","Auckland","174.5918","-36.8988","Auckland","North Island"
"0612","Ranui","Auckland","174.5918","-36.8988","Auckland","North Island"
"0612","Sunnyvale","Auckland","174.5918","-36.8988","Auckland","North Island"
"0612","Swanson","Auckland","174.5918","-36.8988","Auckland","North Island"
"0612","Waiatarua","Auckland","174.5918","-36.8988","Auckland","North Island"
"0614","Henderson Valley","Auckland","174.584","-36.8546","Auckland","North Island"
"0614","Massey","Auckland","174.584","-36.8546","Auckland","North Island"
